Titanic;1997;200;Drame;James;Cameron;16/08/1954;canadien;3;Leonardo-DiCaprio-11/11/1974-americain-,Billy-Zane-24/02/1966-americain-,Kate-Winslet-05/11/1975-britannique-,;
Iron Man;2008;126;Science-Fiction;Jon;Favreau;19/10/1966;Americain;1;Robert-Downey Jr-04/04/1965-Americain-,;
Avatar;2009;162;Science-Fiction;James;Cameron;16/08/1954;canadien;3;Sam-Worthington-02/08/1976-Australien-,Sigourney-Weaver-08/10/1949-Americaine-,Stephen-Lang-11/08/1952-Americain-,;
The Revenant;2015;156;Action;Alejandro;Gonzales Inarritu;15/08/1963;Mexicain;1;Leonardo-Dicaprio-11/11/1974-Americain-,;
Gran Torino;2008;112;Drame;Clint;Eastwood;31/05/1930;Americain;2;Clint-Eastwood-31/05/1930-Americain-,Bee-Vang-04/11/1991-Americain-,;
Forrest Gump;1994;142;Comedie;Robert;Zemeckis;14/05/1952;Americain;2;Tom-Hanks-09/08/1956-Americain-,Robin-Wirght-08/04/1966-Americain-,;
Spider-Man: Homecoming;2017;133;Science-Fiction;Jon;Watts;28/06/1981;Americain;2;Tom-Holland-01/06/1996-Britannique-,Robert-Downey Jr-04/04/1965-Americain-,;
Ready Player One;2018;140;Science-Fiction;Steven;Spielberg;18/12/1946;Americain;3;Tye-Sheridan-11/11/1996-Americain-,Olivia-Cooke-27/15/1993-Anglaise-,Ben-Mendelsohn-03/05/1969-Australien-,;
Shining;1980;119;Horreur;Stanley;Kubrick;26/08/1928;Americain;1;Jack-Nicholson-22/04/1937-Americain-,;
Lolita;1962;139;Drame;Stanley;Kubrick;26/08/1928;Americain;2;James-Mason-15/05/1909-Britannique-,Shelley-Winters-18/08/1920-Americain-,;
Le Roi Lion;1994;89;Animation;Roger;Allers;29/06/1949;Americain;1;Jonathan-Taylor Thomas-08/09/1981-Americain-,;
Spartacus;1960;119;Action;Stanley;Kubrick;26/08/1928;Americain;1;Kirk-Douglas-09/12/1916-Americain-,;
